2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 59600.0, "sell_price": 60000.0}}
2025-11-27T21:58:42 | INFO | action=place_order_simulation details={"mode": "dry-run", "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": 0.001, "price": 60000.0, "stopPrice": null, "reduceOnly": false, "timeInForce": "GTC"}
2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 60000.0, "sell_price": 60400.0}}
2025-11-27T21:58:42 | INFO | action=place_order_simulation details={"mode": "dry-run", "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": 0.001, "price": 60400.0, "stopPrice": null, "reduceOnly": false, "timeInForce": "GTC"}
2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 60400.0, "sell_price": 60800.0}}
2025-11-27T21:58:42 | INFO | action=place_order_simulation details={"mode": "dry-run", "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": 0.001, "price": 60800.0, "stopPrice": null, "reduceOnly": false, "timeInForce": "GTC"}
2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 60800.0, "sell_price": 61200.0}}
2025-11-27T21:58:42 | INFO | action=place_order_simulation details={"mode": "dry-run", "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": 0.001, "price": 61200.0, "stopPrice": null, "reduceOnly": false, "timeInForce": "GTC"}
2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 61200.0, "sell_price": 61600.0}}
2025-11-27T21:58:42 | INFO | action=place_order_simulation details={"mode": "dry-run", "symbol": "BTCUSDT", "side": "BUY", "type": "LIMIT", "quantity": 0.001, "price": 61600.0, "stopPrice": null, "reduceOnly": false, "timeInForce": "GTC"}
2025-11-27T21:58:42 | INFO | action=grid_place_buy details={"grid": {"buy_price": 61600.0, "sell_price": 62000.0}}
